item_name,min_x,min_y,min_z,max_x,max_y,max_z,width,height,depth
SFI-GTL-PVROCK-01,58.30416665209041,-81.41205553520277,0,152.3041666285908,378.450944349832,0,93.99999997650039,459.8629998850348,0
SFI-GTL-PVROCK-02,58.30416665209073,-81.41205553520277,0,152.3041666285908,378.450944349832,0,93.99999997650006,459.8629998850348,0
SFI-GTL-PVROCK-03,-139.6958332984095,-37.37288422834826,0,350.3041665790907,334.764550820667,0,489.99999987750016,372.13743504901527,0
SFI-GTL-PVROCK-04,-139.6958332984095,-47.55754494329544,0,350.3041665790907,344.5964337579246,0,489.99999987750016,392.15397870122007,0
SFI-HAMT2-01,-170.6958332906592,-230.9805554978105,0,381.3041665713401,151.0194444066893,0,551.9999998619993,381.9999999044998,0
SFI-HAMT2-02,-168.6958332911593,151.0194444066893,0,379.3041665718412,528.0194443124396,0,547.9999998630005,376.9999999057503,0
SFI-HHIT2,-99.1704784399965,-2.696207549260488,0,308.355521458122,299.7167923751364,0,407.52599989811847,302.41299992439684,0
SFI-HIKCMB2,-158.9805029272417,-26.51948804065228,0,368.9804969407682,323.5195118718382,0,527.9609998680099,350.03899991249045,0
SFI-HIKCSB2,-154.1177221836931,-37.98055554606005,0,364.3732776866847,335.0194443606895,0,518.4909998703778,372.9999999067495,0
SFI-HIKCT-01,-168.9622221799819,7.924833331352596,0,379.2177776829736,289.4668332609665,0,548.1799998629555,281.5419999296139,0
SFI-HIKCT-02,-166.586002925335,-53.11198803399845,0,376.5859969388718,350.1120118651956,0,543.1719998642068,403.22399989919404,0
SFI-HL2,-404.6236110099549,-107.5236110842298,0,557.3763887495444,209.4763888365197,0,961.9999997594994,316.9999999207495,0
SFI-HLWRHC2,-404.6236110099549,-107.5236110842298,0,557.3763887495444,209.4763888365197,0,961.9999997594994,316.9999999207495,0
SFI-HPHC2,-62.19583331882596,21.10763994323977,0,272.8041665974242,276.1076398794898,0,334.9999999162502,254.99999993625002,0
SFI-HSKBOTC2,-159.8722221822542,-30.66516665900015,0,370.1277776852459,328.0568332513192,0,529.9999998675002,358.7219999103193,0
SFI-HSKCLO2,-180.9541666214284,-8.058333331318442,0,300.5458332581969,259.9416666016816,0,481.4999998796253,267.9999999330001,0
SFI-HSKCO-01,-186.7041666199907,-11.38194444159881,0,306.2958332567595,263.6180554896509,0,492.9999998767502,274.9999999312497,0
SFI-HSKCO-02,-147.0804659931727,17.44762927184153,0,357.688799273854,279.5912595427877,0,504.7692652670267,262.1436302709462,0
SFI-HSKD2,-163.3805555147104,-3.881944443473917,0,282.6194443737896,256.118055491526,0,445.9999998885,259.9999999349999,0
SFI-HSKT-01,-139.6958332984095,31.21194443664121,0,350.3041665790907,265.826944377988,0,489.99999987750016,234.6149999413468,0
SFI-HSKT-02,-181.6282491106237,-5.381254427074904,0,308.3717507668762,257.651745507167,0,489.9999998774999,263.0329999342419,0
SFI-HSKTB2,-182.7041666209907,-10.57444444180058,0,302.2958332577591,262.810555489853,0,484.9999998787498,273.3849999316536,0
SFI-HXL2,-516.4191665375624,-74.69583331465952,0,813.8108331298811,285.3041665953408,0,1330.2299996674435,359.9999999100003,0
SFI-HXLWRHC2,-559.810833193381,-31.30416665884077,0,770.4191664740624,328.6958332511589,0,1330.2299996674433,359.99999990999964,0
SFI-JCBSSV22,-150.2294821469587,-286.6040175675092,0,364.7705426469801,3.395959810891461,0,515.0000247939388,289.9999773784006,0
SFI-JCBSSV2TB2,-67.52497664978561,92.20399386583811,0,467.5250232164519,407.7959937869399,0,535.0499998662375,315.5919999211018,0
SFI-JCBSSV2TC2,-65.27647665034746,79.040493869129,0,465.2765232170144,420.9594937836491,0,530.5529998673619,341.9189999145201,0
SFI-JCBSSV2TO2,-150.2294821469587,-286.6040175675092,0,364.7705426469801,3.395959810891461,0,515.0000247939388,289.9999773784006,0
SFI-KMBCBFW-01,-21.00000296173667,-24.88248804106138,0,230.9999969752635,321.8825118722473,0,251.99999993700018,346.76499991330866,0
SFI-KMBCBFW-02,-21.00000296173667,-24.88248804106138,0,230.9999969752635,321.8825118722473,0,251.99999993700018,346.76499991330866,0
SFI-KMBCBHW2,-22.50550296136025,-22.02898804177461,0,232.5054969748868,319.0290118729608,0,255.01099993624706,341.0579999147354,0
SFI-KMBMRB-01,-148.0000029299866,-0.6849880471107915,0,357.9999969435135,297.685011878297,0,505.9999998735001,298.3699999254078,0
SFI-KMBMRB-02,-148.0000029299866,-20.68498804211074,0,357.9999969435135,317.685011873297,0,505.9999998735001,338.36999991540773,0
SFI-KMBMTB2,-145.0000029307367,-27.99998804028188,0,354.9999969442635,325.0000118714681,0,499.9999998750002,352.99999991174997,0
SFI-KMBSDT3-01,30.30416665909068,-16.48055555143576,0,180.3041666215909,313.5194443660647,0,149.99999996250023,329.9999999175005,0
SFI-KMBSDT3-02,30.30416665909068,-16.48055555143576,0,180.3041666215909,313.5194443660647,0,149.99999996250023,329.9999999175005,0
SFI-KMBSDT3-03,-106.8722221955044,-16.4830555514348,0,317.1277776984958,313.5219443660643,0,423.9999998940002,330.0049999174991,0
SFI-KMBSTB2,-154.0000029284866,-30.61298803962864,0,363.9999969420134,327.6130118708148,0,517.9999998705,358.2259999104434,0
SFI-KTRSNR2DT2,-84.69583331215948,2.769444443752336,0,295.3041665928404,294.2694443708772,0,379.99999990499987,291.49999992712486,0
SFI-KTRSNRFO-01,-14.3364178796373,-14.86787504886611,0,224.1635820607377,311.1321248696339,0,238.499999940375,325.9999999185,0
SFI-KTRSNRFO-02,-14.3364178796373,-14.86787504886611,0,224.1635820607377,311.1321248696339,0,238.499999940375,325.9999999185,0
SFI-KTRSNRHO2,-13.87222221875374,-14.80416666296599,0,224.1277777217464,312.1958332552841,0,237.99999994050015,326.99999991825007,0
SFI-KTRSNRMC2,-133.3722221888791,-3.480555554685507,0,343.6277776918708,300.5194443693147,0,476.9999998807499,303.99999992400024,0
SFI-KTRSNRTB2,-135.8722221882542,-10.9805555528104,0,346.1277776912456,308.0194443674399,0,481.9999998794998,318.99999992025033,0
SFI-KTRSNRTC2,-67.58911109421362,14.97588888514508,0,420.3668887837969,337.8018888044389,0,487.9559998780105,322.8259999192938,0
SFI-MC1DTC2,-115.1368055267714,-26.09722221569816,0,324.8631943632287,318.902777698052,0,439.9999998900001,344.9999999137501,0
SFI-MCLOR2,0,0,0,0,0,0,0,0,0
SFI-MFC12,-118.9140029372528,-22.71198804159831,0,328.91399695079,319.7120118727954,0,447.8279998880428,342.42399991439373,0
SFI-MM145L2,-138.6918426570721,2.998468975634248,0,348.9551572210158,294.0374689028747,0,487.64699987808785,291.03899992724047,0
SFI-MMBX2,-89.63846386031814,10.46923548649709,0,300.3615360421818,286.9152354173858,0,389.99999990249995,276.4459999308887,0
SFI-MMC-01,265.8208340166129,87.64027775586781,0,386.8208332366281,449.6402776653676,0,120.99999922001524,361.99999990949976,0
SFI-MMC-02,321.5000167669793,87.50001331145833,0,451.5000174842148,449.5000132209582,0,130.00000071723554,361.9999999094998,0
SFI-MMP2,0.0924999999771989,99.16133330854282,0,399.9574999000106,401.4303332329756,0,399.8649999000334,302.2689999244328,0
SFI-MMPCL2,-69.69583331590937,25.19583332703454,0,280.3041665965906,272.1958332652842,0,349.9999999125,246.99999993824966,0
SFI-MMPDL2,-79.62800294707426,-3.19598804647698,0,289.6279969606116,300.1960118776747,0,369.25599990768586,303.3919999241517,0
SFI-MMPDM2,8.871997030800822,-3.19598804647698,0,201.1279969827366,300.1960118776747,0,192.25599995193576,303.3919999241517,0
