sku,type,name,stock_available,stock_open,weight_kg,stock_level_available,stock_level_open,stockwarn,syncstock,productweight,updated_at
SFI-MPDTB230K,1,"[BLACK 30mm] Milwaukee Packout Drawers Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-MPLB230K,1,"[BLACK 30mm] Milwaukee Packout Large Box",,,,300,0,,,,2025-03-15 00:07:53
SFI-MPTC230K,1,"[BLACK 30mm] Milwaukee Packout Main Body Trolley Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-MPORG230K,1,"[BLACK 30mm] Milwaukee Packout Organiser Insert",,,,300,0,,,,2025-03-15 00:06:11
SFI-MPSB230K,1,"[BLACK 30mm] Milwaukee Packout Small Box",,,,300,0,,,,2025-03-15 00:07:53
SFI-MPTBA230K,1,"[BLACK 30mm] Milwaukee Packout Toolbox Insert",,,,300,0,,,,2025-03-22 00:06:11
SFI-P1510B230K,1,"[BLACK 30mm] Peli 1510 Foam Inserts (Base)",,,,300,0,,,,2025-03-15 00:06:11
SFI-P1510FP230K,1,"[BLACK 30mm] Peli 1510 Foam Inserts (Full Pack)",,,,300,0,,,,2025-03-15 00:07:52
SFI-P1510T230K,1,"[BLACK 30mm] Peli 1510 Foam Inserts (Top)",,,,300,0,,,,2025-03-15 00:06:11
SFI-RTC230K,1,"[BLACK 30mm] Ridgid Tool Cart (Base) Foam Inserts",,,,300,0,,,,2025-03-15 00:06:35
SFI-RTCB230K,1,"[BLACK 30mm] Ridgid Tool Chest (Middle) Foam Inserts",,,,300,0,,,,2025-03-15 00:06:36
SFI-RTO230K,1,"[BLACK 30mm] Ridgid Tool Organiser (Top) Foam Inserts",,,,300,0,,,,2025-03-15 00:06:34
SFI-RBRCS230K,1,"[BLACK 30mm] Rothenberger ROCASE 4212 Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-RBRCM230K,1,"[BLACK 30mm] Rothenberger ROCASE 4414 Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFC30K,1,"[BLACK 30mm] Shadow Foam Custom Size",,,,300,0,,,,2025-03-21 00:06:21
SFS30K,1,"[Black 30mm] Shadow Foam Sheet 2m x 1m",,,,235,0,,,,2025-03-26 10:00:22
SFI-DTS2T230K,1,"[BLACK 30mm] ToughSystem 2.0 Tray Inserts",,,,300,0,,,,2025-03-15 00:06:11
SFI-TT100230K,1,"[BLACK 30mm] Trend Tool Tote 100 Inserts",,,,300,0,,,,2025-03-15 00:07:53
SFI-TT200230K,1,"[BLACK 30mm] Trend Tool Tote 200 Inserts",,,,300,0,,,,2025-03-15 00:07:52
SFI-TT20030K,1,"[BLACK 30mm] Trend Tool Tote 200 Inserts",,,,300,0,,,,2025-03-15 00:06:36
SFS-100/50/50K,1,"[BLACK 50] Medium Sheet",,,,296,0,,,,2025-03-26 10:24:50
0604565345097,1,"[BLACK 50] Retail Pack",,,,255,10,,,,2025-03-26 10:55:56
SFI-MTBS350K,1,"[BLACK 50mm Triple Pack] Magnusson Full Stack Pack Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-FSOR1350K,1,"[BLACK 50mm TRIPLE PACK] Sortainer Inserts",,,,300,0,,,,2025-03-15 00:27:56
SFI-CLO250K,1,"[BLACK 50mm TWIN PACK] Erbauer Connecx Organiser Inserts",,,,300,0,,,,2025-03-15 00:28:23
SFI-BLBXOG250K,1,"[BLACK 50mm Twin Pack] L-Boxx GEN 1 Inserts",,,,300,0,,,,2025-03-15 00:28:26
SFI-BLBX250K,1,"[BLACK 50mm Twin Pack] L-Boxx GEN 2 Inserts",,,,300,0,,,,2025-03-20 00:28:44
SFI-BLSBX250K,1,"[BLACK 50mm Twin Pack] LS-Boxx Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-BLST250K,1,"[BLACK 50mm Twin Pack] LS-Tray Inserts",,,,300,0,,,,2025-03-15 00:28:24
SFI-MTC250K,1,"[BLACK 50mm Twin Pack] Magnusson Base Foam Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-MTO250K,1,"[BLACK 50mm Twin Pack] Magnusson Top Foam Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-MMBX250K,1,"[BLACK 50mm Twin Pack] Metabox Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-OXTTC250K,1,"[BLACK 50mm TWIN PACK] OX TOOLTREK Cart Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-OXTTTC250K,1,"[BLACK 50mm TWIN PACK] OX TOOLTREK Chest Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-OXTTO250K,1,"[BLACK 50mm TWIN PACK] OX TOOLTREK Organiser Inserts",,,,300,0,,,,2025-03-15 00:29:42
SFI-DORG250K,1,"[BLACK 50mm Twin Pack] Pro Organiser Inserts",,,,300,0,,,,2025-03-26 00:28:42
SFI-RCM250K,1,"[BLACK 50mm TWIN PACK] Reisser Crate Mate Inserts",,,,300,0,,,,2025-03-15 00:28:41
SFI-RLD250K,1,"[BLACK 50mm TWIN PACK] Ryobi LINK Drawer Inserts",,,,300,0,,,,2025-03-26 00:27:42
SFI-DTSYS2HO250K,1,"[BLACK 50mm Twin Pack] ToughSystem 2.0 Half Width Organiser Inserts",,,,300,0,,,,2025-03-18 00:28:04
SFI-DTSYS2RTB250K,1,"[BLACK 50mm Twin Pack] ToughSystem 2.0 Rolling Toolbox Inserts",,,,300,0,,,,2025-03-18 00:28:50
SFI-DTSYS2TB250K,1,"[BLACK 50mm Twin Pack] ToughSystem 2.0 Toolbox Inserts",,,,299,0,,,,2025-03-18 00:28:50
SFI-DTSYSD250K,1,"[BLACK 50mm Twin Pack] ToughSystem Drawers Inserts",,,,299,1,,,,2025-03-25 20:46:45
SFI-DTSYSB250K,1,"[BLACK 50mm Twin Pack] ToughSystem DS150 Inserts",,,,300,0,,,,2025-03-25 00:28:46
SFI-DTSYSA250K,1,"[BLACK 50mm Twin Pack] ToughSystem DS400 Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-DTSYSO250K,1,"[BLACK 50mm Twin Pack] ToughSystem Organiser Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-DTSO250K,1,"[BLACK 50mm Twin Pack] TSTAK Organiser Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-DTSD250K,1,"[BLACK 50mm Twin Pack] TSTAK/ProStack Drawer Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-BWBX250K,1,"[BLACK 50mm Twin Pack] W-Boxx Inserts",,,,300,0,,,,2025-03-15 00:28:13
SFS-80/50/40k,1,"[BLACK 50mm] CLEARANCE Medium Sheet - 800mm X 500mm",,,,300,0,,,,2025-03-26 00:32:10
SFI-DTSYS2CB250K,1,"[BLACK 50mm] DeWalt ToughSystem 2.0 Charger Box Foam Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-DTSB250K,1,"[BLACK 50mm] DeWalt/Stanley TSTAK/ProStack Toolbox Insert",,,,300,0,,,,2025-03-25 00:28:46
SFI-FSYS3L250K,1,"[BLACK 50mm] Festool SYS3 L Insert",,,,300,0,,,,2025-03-15 00:28:53
SFI-FSYS3XXL50K,1,"[BLACK 50mm] Festool SYS3 XXL Insert",,,,300,0,,,,2025-03-15 00:28:53
SFI-FSYSC250K,1,"[BLACK 50mm] Festool Systainer Cantilever Foam Insert",,,,300,0,,,,2025-03-15 00:28:17
SFI-FSYSM250K,1,"[BLACK 50mm] Festool/TANOS Mini Systainer Insert",,,,300,0,,,,2025-03-15 00:27:56
SFI-FSYSC1250K,1,"[BLACK 50mm] Festool/TANOS SYS COMBI Insert",,,,300,0,,,,2025-03-15 00:27:55
SFI-FSYS1250K,1,"[BLACK 50mm] Festool/TANOS T-LOC Systainer Insert",,,,300,0,,,,2025-03-15 00:28:53
SFI-FSYS150K,1,"[BLACK 50mm] Festool/TANOS T-LOC Systainer Insert",,,,300,0,,,,2025-03-15 00:28:22
SFI-HHIT250K,1,"[BLACK 50mm] Hikoki HIT System Case Insert",,,,300,0,,,,2025-03-15 00:28:53
SFI-MTCB250K,1,"[BLACK 50mm] Magnusson Middle Foam Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-MMC250K,1,"[BLACK 50mm] Makita Makpac Cantilever Toolbox Foam Insert",,,,300,0,,,,2025-03-15 00:29:42
SFI-MMP250K,1,"[BLACK 50mm] Makita Makpac Insert",,,,300,0,,,,2025-03-15 00:28:53
SFI-MFC1250K,1,"[BLACK 50mm] Milwaukee Fuel Case",,,,300,0,,,,2025-03-25 00:28:46
SFI-MPCB250K,1,"[BLACK 50mm] Milwaukee Packout Compact Box",,,,300,0,,,,2025-03-15 00:28:53
SFI-MPORC250K,1,"[BLACK 50mm] Milwaukee Packout COMPACT Organiser Insert",,,,299,1,,,,2025-03-25 20:22:01
SFI-MPC250K,1,"[BLACK 50mm] Milwaukee Packout Crate",,,,300,0,,,,2025-03-15 00:28:53
SFI-MPDTB250K,1,"[BLACK 50mm] Milwaukee Packout Drawers Inserts",,,,300,0,,,,2025-03-15 00:28:53
SFI-MPLB250K,1,"[BLACK 50mm] Milwaukee Packout Large Box",,,,300,0,,,,2025-03-15 00:28:53
SFI-MPTC250K,1,"[BLACK 50mm] Milwaukee Packout Main Body Trolley Inserts",,,,300,0,,,,2025-03-15 00:28:20
SFI-MPORG250K,1,"[BLACK 50mm] Milwaukee Packout Organiser Insert",,,,300,0,,,,2025-03-15 00:28:53
SFI-MPSB250K,1,"[BLACK 50mm] Milwaukee Packout Small Box",,,,300,0,,,,2025-03-15 00:28:51
